name,feature,location,regional_c,map_reference,dms_latitude,dms_longitude,utm_northing,utm_easting,object_id,latitude,longitude
Henrietta,Village,"Essequibo Coast, 36 ½ km or 22 ½ mi. Northwards of Supenaam r.",221132,12NE,"7° 16' 5"" N","58° 29' 53"" W",803685,334589,4942,7.268299999999988,-58.49829999999999
Henrietta Cecelia,Estate,"R.b. Akawini r., l.b. Pomeroon r., at the mouth of Akawini r.",212213,12NE,"7° 32' 32"" N","58° 41' 39"" W",834080,313050,4943,7.542499999999989,-58.69440000000001
Henry,Estate,"Northern Side of # 3 Canal, 4 ½ km or 3 mi. inland from the r.b. Demerara  r.",412225,20SE,"6° 44' 29"" N","58° 8' 58"" W",745339,372944,4944,6.741700000000005,-58.14960000000001
Hensden or Henselan,Estate,"R.b. Mahaica r., 6 km or 3 ½ mi. up and 43 ½ km or 27 mi. from Georgetown.",512311,21SW,"6° 39' 7"" N","57° 53' 47"" W",735389,400896,4945,6.65219999999999,-57.8966
Henselan or Hensden,Estate,"R.b. Mahaica r., 6 km or 3 ½ mi. up and 43 ½ km or 27 mi. from Georgetown.",512311,21SW,"6° 39' 8"" N","57° 53' 52"" W",735417,400746,4946,6.652399999999992,-57.8979
Hepaiba,Locality,"L.b. Corentyne r., 3 km or 2 mi. above Orealla Amerindian Village.",662111,47SW,"5° 18' 51"" N","57° 18' 6"" W",587411,466566,4947,5.314299999999993,-57.301700000000004
Hermanstyne,Settlement,"L.b. Demerara r., 1 ½ km or 1 mi. below Kamuni r.",331221,20SW,"6° 31' 21"" N","58° 16' 1"" W",721148,359895,4948,6.522600000000002,-58.2671
Hermitage,Village,"East Coast Berbice, 7 ½ km or 4 ½ mi. from New Amsterdam.",621112,30NW,"6° 18' 0"" N","57° 29' 6"" W",696421,446354,4949,6.300299999999993,-57.485
Hermitage,Estate,"L.b. Demerara r., 21 ½ km or 13 ½ mi. from Vreed-en-Hoop.",332112,20SE,"6° 38' 40"" N","58° 12' 45"" W",734635,365963,4950,6.6446999999999905,-58.2126
Herstelling,Estate,"L.b. Berbice r., 34 km or 21mi. above Rosignol.",5232,29SE,"6° 4' 48"" N","57° 36' 41"" W",672105,432331,4951,6.0801999999999925,-57.61150000000001
Herstelling,Village,"R.b.  Demerara r., 7 ½ km or 4 ½ mi. from Georgetown.",41221,20SE,"6° 44' 48"" N","58° 11' 1"" W",745914,369165,4952,6.746799999999993,-58.18379999999999
Het Princenhof,Estate,"L.b. Essequibo r., 4 km or 2 ½ mi. below Groete r.",311112,19SE,"6° 39' 18"" N","58° 37' 7"" W",735925,321065,4953,6.655199999999995,-58.61869999999999
Het Prins Hof,Estate,"L.b. Essequibo r., 27 ½ km or 17 mi. above Supenaam r.",311211,19SE,"6° 44' 48"" N","58° 37' 5"" W",746049,321165,4954,6.746699999999992,-58.6181
Het Vergenoegen,Village,"R.b. Essequibo r., 24 km or 15 mi. from Vreed-en-Hoop, l.b. Demerara r.",322123,20NW,"6° 51' 30"" N","58° 21' 47"" W",758331,349360,4955,6.858599999999991,-58.3633
Hiawa,Settlement,"R.b. Hiawa r., r.b. Manari r., r.b. Takutu r., 14 km or 8 ½ mi. up.",911127,64NE,"3° 23' 37"" N","59° 38' 7"" W",375509,207153,4956,3.393699999999979,-59.6354
Hiawa Creek,Creek,"L.b. Wikki r., r.b. Berbice r., 57 ½ km or 35 ½ mi. up.",022121,46NW,"5° 16' 27"" N","57° 53' 32"" W",583045,401110,4957,5.274199999999994,-57.892399999999995
Hiawa River,River,"R.b. Manari r., r.b. Takutu r., 18 km or 11 mi. up.",911128,64NE,"3° 25' 48"" N","59° 43' 37"" W",379555,196958,4958,3.42999999999999,-59.72720000000001
Hibernia,Village,"L.b. Essequibo r., 7 km or 4 ½ mi. Northwards of Supenaam r.",221242,12SE,"7° 1' 19"" N","58° 29' 55"" W",776440,334446,4959,7.0219999999999905,-58.4988
Hibibia River,River,"L.b. Demerara r., 37 ½ km or 23 ½ mi. above a point opp. Karakara r., Linden.",012215,37NW,"5° 49' 38"" N","58° 21' 14"" W",644309,350089,4960,5.827399999999993,-58.354
Higgins Landing,Landing,"R.b. Mazaruni r., l.b. Essequibo r., 5 km or 3 mi. above Karanang r.",721223,34NE,"5° 46' 31"" N","59° 38' 6"" W",639052,208157,4961,5.775400000000001,-59.63510000000001
Highburg,Estate,"R.b. Berbice r., 17 km or 10 ½ mi. from New Amsterdam.",611221,29SE,"6° 9' 1"" N","57° 36' 6"" W",679861,433426,4962,6.150300000000002,-57.601699999999994
High Grass Mountains,Mountains,"R.b. High Grass r., r.b. East Muri r., upper Muri r., r.b. Oronoque r., r.b. New r., l.b. Corentyne r., 2 km or 1mi. inland from a point 5 km or 3 mi. up.",67,81SW,"2° 6' 39"" N","57° 21' 11"" W",233328,460724,4963,2.1108999999999924,-57.3532
